# Source: US Census Bureau, Vintage 2023 population estimates for cities and towns (public domain).
# https://www2.census.gov/programs-surveys/popest/datasets/2020-2023/cities/totals/
# The 1,500 largest places, plus a hand-set international list weighted to about 3% of draws.
# Written by tools/fetch-data.mjs. Do not edit by hand.
city,region,country,weight
San Ramon,CA,USA,84929
Folsom,CA,USA,84782
Warner Robins,GA,USA,84537
South Jordan,UT,USA,84528
Whittier,CA,USA,84143
Baytown,TX,USA,84067
Gastonia,NC,USA,83942
Auburn,WA,USA,83870
New Rochelle,NY,USA,83742
Layton,UT,USA,83516
Hawthorne,CA,USA,83364
Longview,TX,USA,83236
Warwick,RI,USA,82999
Livermore,CA,USA,82908
Newport Beach,CA,USA,82637
Cranston,RI,USA,82635
Rancho Cordova,CA,USA,82605
Westland,MI,USA,82574
Farmington Hills,MI,USA,82528
Daytona Beach,FL,USA,82485
Largo,FL,USA,82248
Auburn,AL,USA,82025
Brooklyn Park,MN,USA,82017
Buena Park,CA,USA,81958
Mountain View,CA,USA,81785
Homestead,FL,USA,81659
Castle Rock,CO,USA,81415
Kissimmee,FL,USA,81269
Boynton Beach,FL,USA,81267
Johns Creek,GA,USA,81108
Cicero,IL,USA,81004
Redwood City,CA,USA,80996
Jonesboro,AR,USA,80650
Perris,CA,USA,80603
Pharr,TX,USA,80410
Somerville,MA,USA,80407
Redmond,WA,USA,80280
Leander,TX,USA,80067
Pasco,WA,USA,80038
Alhambra,CA,USA,79776
Flint,MI,USA,79661
Lake Charles,LA,USA,79633
Miami Beach,FL,USA,79607
Woodbury,MN,USA,79538
Lynchburg,VA,USA,79535
Flower Mound,TX,USA,79445
Rapid City,SD,USA,79404
Doral,FL,USA,79359
Loveland,CO,USA,79352
Parma,OH,USA,78951
Bloomington,IN,USA,78840
Upland,CA,USA,78699
Bloomington,IL,USA,78587
Mansfield,TX,USA,78542
Bethlehem,PA,USA,78300
Lakewood,CA,USA,78135
Missoula,MT,USA,77757
Tustin,CA,USA,77704
Plymouth,MN,USA,77648
Cedar Park,TX,USA,77516
Napa,CA,USA,77492
Wyoming,MI,USA,77451
Milpitas,CA,USA,77321
Chino Hills,CA,USA,77212
Broomfield,CO,USA,76860
Missouri City,TX,USA,76773
Racine,WI,USA,76602
Flagstaff,AZ,USA,76586
Queen Creek,AZ,USA,76570
Lakeville,MN,USA,76243
Bowling Green,KY,USA,76212
Hammond,IN,USA,76193
Rochester Hills,MI,USA,76002
Scranton,PA,USA,75805
Pittsburg,CA,USA,75803
Schaumburg,IL,USA,75750
Southfield,MI,USA,75687
Iowa City,IA,USA,75678
Rock Hill,SC,USA,75654
Alameda,CA,USA,75353
Pawtucket,RI,USA,75321
Bellflower,CA,USA,75122
Bismarck,ND,USA,75092
Evanston,IL,USA,75070
Apple Valley,CA,USA,75036
Appleton,WI,USA,74719
Pleasanton,CA,USA,74653
Arlington Heights,IL,USA,74495
Ankeny,IA,USA,74458
Bolingbrook,IL,USA,74088
New Britain,CT,USA,74080
Rogers,AR,USA,74035
Lauderhill,FL,USA,73974
Noblesville,IN,USA,73916
Blaine,MN,USA,73774
Rocklin,CA,USA,73472
Johnson City,TN,USA,73337
Kalamazoo,MI,USA,73126
